"name","type","n","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"SCL_A_3","numeric",840,0.141104294478528,5,1.20238095238095,1,1,NA,0.480359467722163,NA,1,4,3,2.48637898831415,14.7358393180418,6.20330975932181,18.404038271421,NA,NA
"SCL_B_3","numeric",820,0.161554192229039,6,1.23170731707317,1,1,NA,0.556870298738158,NA,1,5,4,2.81951604035249,16.5108039167372,9.01927700997529,26.4399027352164,NA,NA
"SCL_C_3","numeric",744,0.239263803680982,6,1.21505376344086,1,1,NA,0.546112404988372,NA,1,5,4,2.90186279641074,16.1894005774629,9.30709096902784,25.9965266861452,NA,NA
"SCL_D_3","numeric",566,0.421267893660532,6,1.22791519434629,1,1,NA,0.600293350012815,NA,1,5,4,3.34126529961943,16.2689721112394,12.9879116037905,31.6748801973772,NA,NA
"SCL_E_3","numeric",558,0.429447852760736,6,1.23118279569892,1,1,NA,0.554364791451897,NA,1,5,4,2.93888823138259,14.2088026486179,10.3234828750175,24.9998755032132,NA,NA
"SCL_G_3","numeric",603,0.383435582822086,6,1.212271973466,1,1,NA,0.560062270203562,NA,1,5,4,3.19057200505313,16.0323817397137,11.5081849860599,28.9612320451827,NA,NA
"SCL_A_5","numeric",839,0.142126789366053,6,1.07270560190703,1,1,NA,0.325093998309839,NA,1,5,4,6.01395517269622,35.6213187654332,47.3401706042632,140.366134417494,NA,NA
"SCL_B_5","numeric",819,0.162576687116564,5,1.12332112332112,1,1,NA,0.41450557719573,NA,1,4,3,3.79695317901339,22.2210655989872,15.6431902498116,45.8300233317688,NA,NA
"SCL_C_5","numeric",744,0.239263803680982,5,1.13844086021505,1,1,NA,0.428997064115812,NA,1,4,3,3.81738936441788,21.2970942861765,17.4302215825518,48.6860203713646,NA,NA
"SCL_D_5","numeric",568,0.419222903885481,6,1.21654929577465,1,1,NA,0.560870507301554,NA,1,5,4,3.0070911300544,14.6675532767764,10.03247867594,24.5099940969256,NA,NA
"SCL_E_5","numeric",558,0.429447852760736,6,1.27240143369176,1,1,NA,0.686618678886198,NA,1,5,4,2.94601283365745,14.2432483504287,8.99959950493569,21.7938916474242,NA,NA
"SCL_G_5","numeric",604,0.38241308793456,6,1.25993377483444,1,1,NA,0.60974724577729,NA,1,5,4,2.85970329247162,14.3816431233424,9.41137470172265,23.7039182209619,NA,NA
"SCL_A_14","numeric",840,0.141104294478528,5,1.31547619047619,1,1,NA,0.575004596057508,NA,1,4,3,1.95426456312244,11.5821959252645,4.15709370119161,12.3333050489128,NA,NA
"SCL_B_14","numeric",820,0.161554192229039,6,1.46219512195122,1,1,NA,0.763825000238672,NA,1,5,4,1.82661639766369,10.6964829216405,3.2521296613389,9.53357922514329,NA,NA
"SCL_C_14","numeric",744,0.239263803680982,6,1.43010752688172,1,1,NA,0.746788180141998,NA,1,5,4,2.13689261021336,11.9216561515432,5.22581619752536,14.5967274509243,NA,NA
"SCL_D_14","numeric",567,0.420245398773006,6,1.45855379188713,1,1,NA,0.787239231725049,NA,1,5,4,2.0127075411963,9.80869267589855,4.27870091055337,10.4440170105477,NA,NA
"SCL_E_14","numeric",558,0.429447852760736,6,1.50179211469534,1,1,NA,0.83837301601209,NA,1,5,4,1.96509715545623,9.50076201234177,3.9222714597779,9.49837369532976,NA,NA
"SCL_G_14","numeric",604,0.38241308793456,6,1.49006622516556,1,1,NA,0.777951126874921,NA,1,5,4,1.81581842883031,9.13187486582055,3.26065743259952,8.21244075159004,NA,NA
"SCL_A_15","numeric",840,0.141104294478528,3,1.00714285714286,1,1,NA,0.084263215344786,NA,1,2,1,11.6841116529676,69.2473644208722,134.678801275306,399.566345900292,NA,NA
"SCL_B_15","numeric",820,0.161554192229039,5,1.01829268292683,1,1,NA,0.166577301155327,NA,1,4,3,11.5423790795583,67.5910173901372,161.332871334322,472.945383688171,NA,NA
"SCL_C_15","numeric",743,0.240286298568507,4,1.01884253028264,1,1,NA,0.163090951491121,NA,1,4,3,11.4420886441121,63.792307700436,166.648768557115,465.171776363576,NA,NA
"SCL_D_15","numeric",567,0.420245398773006,5,1.0299823633157,1,1,NA,0.216339200943972,NA,1,4,3,8.81411872360789,42.9545674168671,91.0316920741814,222.202149763894,NA,NA
"SCL_E_15","numeric",557,0.430470347648262,5,1.03770197486535,1,1,NA,0.240683448812053,NA,1,4,3,7.63941344782815,36.9017536405816,67.5017797987351,163.320523535891,NA,NA
"SCL_G_15","numeric",604,0.38241308793456,5,1.0546357615894,1,1,NA,0.323734991501235,NA,1,4,3,6.95568891327039,34.9806344913445,52.5764133142304,132.421356183374,NA,NA
"SCL_A_19","numeric",840,0.141104294478528,5,1.09642857142857,1,1,NA,0.34383604367145,NA,1,4,3,4.14557632916193,24.5692820580935,20.4057892663238,60.540089272768,NA,NA
"SCL_B_19","numeric",820,0.161554192229039,5,1.13414634146341,1,1,NA,0.440950109780061,NA,1,4,3,3.69727549772943,21.6508755032781,14.582292253836,42.7478154204048,NA,NA
"SCL_C_19","numeric",744,0.239263803680982,6,1.1008064516129,1,1,NA,0.387280118015723,NA,1,5,4,5.10307223146813,28.4698782565291,32.8013921647624,91.6207082956051,NA,NA
"SCL_D_19","numeric",568,0.419222903885481,6,1.10739436619718,1,1,NA,0.408137991634101,NA,1,5,4,4.81317829925309,23.477023502657,28.3782570964963,69.3299170008944,NA,NA
"SCL_E_19","numeric",558,0.429447852760736,5,1.10931899641577,1,1,NA,0.379765450666588,NA,1,4,3,4.05490699037886,19.6044791937152,18.9681710963302,45.9342957868854,NA,NA
"SCL_G_19","numeric",604,0.38241308793456,6,1.0976821192053,1,1,NA,0.397414435792074,NA,1,5,4,5.07839653635525,25.5396029430575,31.0004249185279,78.0790862518047,NA,NA
"SCL_A_20","numeric",840,0.141104294478528,5,1.05119047619048,1,1,NA,0.269194732418063,NA,1,4,3,6.44140729153059,38.1758144177433,49.6912459326821,147.424460067533,NA,NA
"SCL_B_20","numeric",820,0.161554192229039,5,1.08780487804878,1,1,NA,0.352347870307169,NA,1,5,4,4.92507560546754,28.8407501263281,30.6429213974589,89.8293577606744,NA,NA
"SCL_C_20","numeric",744,0.239263803680982,5,1.09811827956989,1,1,NA,0.359147648046649,NA,1,4,3,4.23857255162307,23.6468619397649,20.5942922603646,57.5238890551818,NA,NA
"SCL_D_20","numeric",567,0.420245398773006,6,1.17460317460317,1,1,NA,0.54758429609756,NA,1,5,4,3.87857426722766,18.90177396825,16.9936019844856,41.4802230645962,NA,NA
"SCL_E_20","numeric",559,0.428425357873211,6,1.15921288014311,1,1,NA,0.505932641873772,NA,1,5,4,4.06845040186268,19.6874818394686,19.8079336065493,48.0104918743533,NA,NA
